orig_idx,grade,band,cluster,signal1_grade,signal2_normalised,bloom_weighted,result_bloom,pfr_bloom,learning_bloom,bloom_penalty,disparity,final_grade,difference,confirmed,confidence,flag_for_review,flags
137,10.0,HD,5,10.0,5.96,2.2,1.0,2.0,3.0,0.675,4.04,6.28,3.72,False,medium,False,high_disparity
810,9.0,HD,36,9.02,5.96,2.2,3.0,2.0,2.0,1.0,3.06,7.18,1.82,False,medium,False,high_disparity
440,10.0,HD,22,8.82,6.74,2.8,2.0,3.0,3.0,1.0,2.08,7.57,2.43,False,medium,False,high_disparity
861,8.5,HD,29,7.8,6.22,2.4,2.0,2.0,3.0,1.0,1.58,6.85,1.65,False,medium,False,low_similarity
432,10.0,HD,0,7.66,7.2,3.2,2.0,4.0,3.0,1.0,0.46,7.38,2.62,False,high,False,
296,10.0,HD,44,9.48,6.22,2.4,2.0,3.0,2.0,1.0,3.26,7.52,2.48,False,low,True,high_disparity|small_cluster
521,10.0,HD,12,10.0,5.06,1.8,1.0,2.0,2.0,0.575,4.94,5.34,4.66,False,medium,False,high_disparity
675,10.0,HD,0,9.34,5.06,1.8,1.0,2.0,2.0,0.575,4.28,5.18,4.82,False,medium,False,high_disparity
292,10.0,HD,36,9.32,7.2,3.2,2.0,4.0,3.0,1.0,2.12,8.05,1.95,False,medium,False,high_disparity
136,10.0,HD,30,9.19,6.74,2.8,2.0,3.0,3.0,1.0,2.45,7.72,2.28,False,low,True,high_disparity|small_cluster
528,10.0,HD,20,10.0,6.22,2.4,2.0,2.0,3.0,0.725,3.78,6.63,3.37,False,medium,False,high_disparity
658,10.0,HD,2,10.0,6.74,2.8,2.0,3.0,3.0,0.825,3.26,7.34,2.66,False,medium,False,high_disparity
96,10.0,HD,22,8.78,6.22,2.4,2.0,3.0,2.0,0.725,2.56,6.28,3.72,False,medium,False,high_disparity
290,10.0,HD,0,8.64,6.22,2.4,2.0,3.0,2.0,1.0,2.42,7.19,2.81,False,medium,False,high_disparity
693,10.0,HD,0,9.34,6.74,2.8,2.0,3.0,3.0,1.0,2.6,7.78,2.22,False,medium,False,high_disparity
