orig_idx,grade,band,cluster,signal1_grade,signal2_normalised,bloom_weighted,result_bloom,pfr_bloom,learning_bloom,bloom_penalty,disparity,final_grade,difference,confirmed,confidence,flag_for_review,flags
1028,6.5,Credit,6,8.75,6.22,2.4,2.0,2.0,3.0,1.0,2.53,6.98,0.48,True,low,True,high_disparity|low_similarity
1029,6.5,Credit,10,8.54,5.7,2.0,2.0,2.0,2.0,1.0,2.84,6.55,0.05,True,medium,False,high_disparity
948,7.3,Credit,17,8.73,6.22,2.4,2.0,3.0,2.0,1.0,2.51,6.97,0.33,True,medium,False,high_disparity
972,7.0,Credit,6,8.71,7.2,3.2,2.0,3.0,4.0,1.0,1.51,7.65,0.65,True,high,False,
994,7.0,Credit,1,8.7,6.74,2.8,2.0,3.0,3.0,1.0,1.96,7.33,0.33,True,high,False,
1008,6.9,Credit,38,8.69,6.22,2.4,2.0,2.0,3.0,1.0,2.47,6.96,0.06,True,medium,False,high_disparity
967,7.0,Credit,0,8.75,6.74,2.8,2.0,3.0,3.0,1.0,2.01,7.34,0.34,True,medium,False,high_disparity
979,7.0,Credit,35,8.68,6.22,2.4,2.0,2.0,3.0,1.0,2.46,6.96,0.04,True,medium,False,high_disparity
944,7.33,Credit,27,8.59,5.96,2.2,1.0,3.0,2.0,1.0,2.63,6.75,0.58,True,medium,False,high_disparity
992,7.0,Credit,4,8.71,6.48,2.6,3.0,2.0,3.0,1.0,2.23,7.15,0.15,True,medium,False,high_disparity
867,8.33,Distinction,43,8.73,6.74,2.8,2.0,2.0,4.0,1.0,1.99,7.34,0.99,True,high,False,
898,8.0,Distinction,0,8.71,6.74,2.8,2.0,3.0,3.0,1.0,1.97,7.33,0.67,True,high,False,
873,8.33,Distinction,0,8.7,5.06,1.8,1.0,2.0,2.0,0.575,3.64,5.04,3.29,False,medium,False,high_disparity
863,8.47,Distinction,35,8.63,6.22,2.4,2.0,3.0,2.0,1.0,2.41,6.94,1.53,False,medium,False,high_disparity
908,8.0,Distinction,23,8.72,6.74,2.8,2.0,3.0,3.0,1.0,1.98,7.34,0.66,True,medium,False,small_cluster
910,8.0,Distinction,1,8.66,6.22,2.4,2.0,2.0,3.0,1.0,2.44,6.95,1.05,False,medium,False,high_disparity
928,7.67,Distinction,34,8.73,5.96,2.2,1.0,3.0,2.0,1.0,2.77,6.79,0.88,True,low,True,high_disparity|small_cluster
916,8.0,Distinction,4,8.73,6.22,2.4,2.0,2.0,3.0,1.0,2.51,6.97,1.03,False,medium,False,high_disparity
913,8.0,Distinction,25,8.64,6.22,2.4,2.0,2.0,3.0,1.0,2.42,6.95,1.05,False,low,True,high_disparity|small_cluster
891,8.0,Distinction,37,8.7,6.74,2.8,2.0,3.0,3.0,1.0,1.96,7.33,0.67,True,high,False,
930,7.67,Distinction,28,8.66,6.22,2.4,2.0,2.0,3.0,1.0,2.44,6.95,0.72,True,medium,False,high_disparity
933,7.5,Distinction,36,8.69,6.22,2.4,2.0,2.0,3.0,1.0,2.47,6.96,0.54,True,medium,False,high_disparity
881,8.3,Distinction,7,8.79,5.7,2.0,2.0,2.0,2.0,1.0,3.09,6.63,1.67,False,low,True,high_disparity|low_similarity
875,8.33,Distinction,37,8.72,6.74,2.8,2.0,3.0,3.0,1.0,1.98,7.33,1.0,True,high,False,
921,7.9,Distinction,8,8.93,6.74,2.8,2.0,3.0,3.0,1.0,2.19,7.4,0.5,True,medium,False,high_disparity
896,8.0,Distinction,42,8.69,3.78,1.4,1.0,2.0,1.0,1.0,4.91,5.25,2.75,False,low,True,high_disparity|small_cluster
872,8.33,Distinction,37,8.67,6.74,2.8,2.0,3.0,3.0,1.0,1.93,7.32,1.01,False,high,False,
868,8.33,Distinction,36,8.72,5.06,1.8,1.0,2.0,2.0,0.95,3.66,6.03,2.3,False,medium,False,high_disparity
897,8.0,Distinction,5,8.72,6.48,2.6,1.0,3.0,3.0,1.0,2.24,7.15,0.85,True,medium,False,high_disparity
885,8.0,Distinction,36,8.7,6.74,2.8,2.0,3.0,3.0,1.0,1.96,7.33,0.67,True,high,False,
893,8.0,Distinction,36,8.68,7.2,3.2,2.0,4.0,3.0,1.0,1.48,7.64,0.36,True,high,False,
903,8.0,Distinction,17,8.73,6.74,2.8,2.0,3.0,3.0,1.0,1.99,7.34,0.66,True,high,False,
902,8.0,Distinction,17,8.75,7.4,3.4,3.0,4.0,3.0,1.0,1.35,7.81,0.19,True,medium,False,low_similarity
879,8.3,Distinction,3,8.75,6.74,2.8,2.0,3.0,3.0,1.0,2.01,7.34,0.96,True,low,True,high_disparity|low_similarity|small_cluster
927,7.67,Distinction,44,8.68,4.42,1.6,2.0,2.0,1.0,0.9,4.26,5.44,2.23,False,low,True,high_disparity|small_cluster
917,8.0,Distinction,8,9.11,6.74,2.8,2.0,3.0,3.0,1.0,2.37,7.45,0.55,True,medium,False,high_disparity
894,8.0,Distinction,0,8.67,5.06,1.8,1.0,2.0,2.0,0.95,3.61,6.01,1.99,False,medium,False,high_disparity
870,8.33,Distinction,0,8.69,6.74,2.8,2.0,3.0,3.0,0.825,1.95,6.87,1.46,False,high,False,
925,7.9,Distinction,38,8.69,6.74,2.8,2.0,3.0,3.0,1.0,1.95,7.32,0.58,True,high,False,
907,8.0,Distinction,8,8.6,6.22,2.4,2.0,2.0,3.0,1.0,2.38,6.93,1.07,False,low,True,high_disparity|low_similarity
935,7.5,Distinction,17,8.69,7.0,3.0,3.0,3.0,3.0,1.0,1.69,7.51,0.01,True,high,False,
912,8.0,Distinction,37,8.71,6.74,2.8,2.0,3.0,3.0,1.0,1.97,7.33,0.67,True,high,False,
938,7.5,Distinction,38,8.68,6.74,2.8,2.0,3.0,3.0,1.0,1.94,7.32,0.18,True,high,False,
882,8.3,Distinction,25,8.96,6.74,2.8,2.0,3.0,3.0,1.0,2.22,7.4,0.9,True,low,True,high_disparity|low_similarity|small_cluster
926,7.83,Distinction,32,8.68,5.06,1.8,1.0,2.0,2.0,0.95,3.62,6.02,1.81,False,medium,False,high_disparity
888,8.0,Distinction,43,8.69,7.2,3.2,2.0,4.0,3.0,1.0,1.49,7.65,0.35,True,high,False,
